"partition_description", "runtime (milliseconds)"
n_name-o_orderstatus-s_nationkey,42365
n_nationkey-o_orderdate-s_nationkey,41106
n_nationkey-o_orderpriority-s_nationkey,32780
n_nationkey-o_orderstatus-s_nationkey,33209
n_regionkey-o_orderdate-s_nationkey,39831
n_regionkey-o_orderpriority-s_nationkey,33011
n_regionkey-o_orderstatus-s_nationkey,40253
n_name-p_brand-ps_availqty,63397
n_name-p_brand-ps_supplycost,210903
n_name-p_container-ps_availqty,63977
n_name-p_container-ps_supplycost,200228
n_name-p_size-ps_availqty,62551
n_name-p_size-ps_supplycost,199392
n_name-p_type-ps_availqty,72573
n_name-p_type-ps_supplycost,200591
n_nationkey-p_brand-ps_availqty,63334
n_nationkey-p_brand-ps_supplycost,200226
n_nationkey-p_container-ps_availqty,62199
n_nationkey-p_container-ps_supplycost,199697
n_nationkey-p_size-ps_availqty,63076
n_nationkey-p_size-ps_supplycost,202267
n_nationkey-p_type-ps_availqty,63053
n_nationkey-p_type-ps_supplycost,200760
n_regionkey-p_brand-ps_availqty,64044
n_regionkey-p_brand-ps_supplycost,209399
n_regionkey-p_container-ps_availqty,62312
n_regionkey-p_container-ps_supplycost,200770
n_regionkey-p_size-ps_availqty,62803
n_regionkey-p_size-ps_supplycost,203606
n_regionkey-p_type-ps_availqty,63841
n_regionkey-p_type-ps_supplycost,209485
n_name-p_brand-r_name,32589
n_name-p_brand-r_regionkey,32206
n_name-p_container-r_name,32438
n_name-p_container-r_regionkey,33253
n_name-p_size-r_name,33430
n_name-p_size-r_regionkey,34060
n_name-p_type-r_name,34491
n_name-p_type-r_regionkey,35055
n_nationkey-p_brand-r_name,34905
n_nationkey-p_brand-r_regionkey,35062
n_nationkey-p_container-r_name,35464
n_nationkey-p_container-r_regionkey,45372
n_nationkey-p_size-r_name,32832
n_nationkey-p_size-r_regionkey,33070
n_nationkey-p_type-r_name,32407
n_nationkey-p_type-r_regionkey,34035
n_regionkey-p_brand-r_name,34320
n_regionkey-p_brand-r_regionkey,33860
n_regionkey-p_container-r_name,34091
n_regionkey-p_container-r_regionkey,34901
n_regionkey-p_size-r_name,47637
n_regionkey-p_size-r_regionkey,33004
n_regionkey-p_type-r_name,33368
n_regionkey-p_type-r_regionkey,33609
n_name-p_brand-s_nationkey,32580
n_name-p_container-s_nationkey,33056
n_name-p_size-s_nationkey,35236
n_name-p_type-s_nationkey,35393
n_nationkey-p_brand-s_nationkey,35209
n_nationkey-p_container-s_nationkey,48550
n_nationkey-p_size-s_nationkey,32342
n_nationkey-p_type-s_nationkey,32878
n_regionkey-p_brand-s_nationkey,32693
n_regionkey-p_container-s_nationkey,33484
n_regionkey-p_size-s_nationkey,34711
n_regionkey-p_type-s_nationkey,48926
n_name-ps_availqty-r_name,61435
n_name-ps_availqty-r_regionkey,63272
n_name-ps_supplycost-r_name,212039
n_name-ps_supplycost-r_regionkey,198857
n_nationkey-ps_availqty-r_name,64135
n_nationkey-ps_availqty-r_regionkey,63106
n_nationkey-ps_supplycost-r_name,200748
n_nationkey-ps_supplycost-r_regionkey,200231
n_regionkey-ps_availqty-r_name,62765
n_regionkey-ps_availqty-r_regionkey,70861
n_regionkey-ps_supplycost-r_name,199197
n_regionkey-ps_supplycost-r_regionkey,209237
n_name-ps_availqty-s_nationkey,62427
n_name-ps_supplycost-s_nationkey,199224
n_nationkey-ps_availqty-s_nationkey,62478
n_nationkey-ps_supplycost-s_nationkey,198432
n_regionkey-ps_availqty-s_nationkey,62759
n_regionkey-ps_supplycost-s_nationkey,200807
n_name-r_name-s_nationkey,33241
n_name-r_regionkey-s_nationkey,41248
n_nationkey-r_name-s_nationkey,32429
n_nationkey-r_regionkey-s_nationkey,32933
n_regionkey-r_name-s_nationkey,33352
n_regionkey-r_regionkey-s_nationkey,32885
o_orderdate-p_brand-ps_availqty,76428
o_orderdate-p_brand-ps_supplycost,208418
o_orderdate-p_container-ps_availqty,68508
o_orderdate-p_container-ps_supplycost,208194
o_orderdate-p_size-ps_supplycost,328003
o_orderdate-p_type-ps_availqty,99403
o_orderdate-p_type-ps_supplycost,302683
o_orderpriority-p_brand-ps_availqty,87481
o_orderpriority-p_brand-ps_supplycost,291288
o_orderpriority-p_container-ps_availqty,84739
o_orderpriority-p_container-ps_supplycost,291674
o_orderpriority-p_size-ps_availqty,86656
o_orderpriority-p_size-ps_supplycost,293411
o_orderpriority-p_type-ps_availqty,87978
o_orderpriority-p_type-ps_supplycost,293238
o_orderstatus-p_brand-ps_availqty,85424
o_orderstatus-p_brand-ps_supplycost,294781
o_orderstatus-p_container-ps_availqty,86880
o_orderstatus-p_container-ps_supplycost,291295
o_orderstatus-p_size-ps_availqty,86085
o_orderstatus-p_size-ps_supplycost,291026
o_orderstatus-p_type-ps_availqty,85450
o_orderstatus-p_type-ps_supplycost,291403
o_orderdate-p_brand-r_name,57809
o_orderdate-p_brand-r_regionkey,52776
o_orderdate-p_container-r_name,51771
o_orderdate-p_container-r_regionkey,51556
o_orderdate-p_size-r_name,52874
o_orderdate-p_size-r_regionkey,53340
o_orderdate-p_type-r_name,51684
o_orderdate-p_type-r_regionkey,53116
o_orderpriority-p_brand-r_name,42565
o_orderpriority-p_brand-r_regionkey,42679
o_orderpriority-p_container-r_name,42469
o_orderpriority-p_container-r_regionkey,40572
o_orderpriority-p_size-r_name,40783
o_orderpriority-p_size-r_regionkey,41566
o_orderpriority-p_type-r_name,41803
o_orderpriority-p_type-r_regionkey,42900
o_orderstatus-p_brand-r_name,42904
o_orderstatus-p_brand-r_regionkey,43670
o_orderstatus-p_container-r_name,44248
o_orderstatus-p_container-r_regionkey,40262
o_orderstatus-p_size-r_name,42333
o_orderstatus-p_size-r_regionkey,41383
o_orderstatus-p_type-r_name,42782
o_orderstatus-p_type-r_regionkey,43122
o_orderdate-p_brand-s_nationkey,52311
o_orderdate-p_container-s_nationkey,49229
o_orderdate-p_size-s_nationkey,51146
o_orderdate-p_type-s_nationkey,53298
o_orderpriority-p_brand-s_nationkey,42036
o_orderpriority-p_container-s_nationkey,42529
o_orderpriority-p_size-s_nationkey,43783
o_orderpriority-p_type-s_nationkey,42453
o_orderstatus-p_brand-s_nationkey,42007
o_orderstatus-p_container-s_nationkey,42120
o_orderstatus-p_size-s_nationkey,44236
o_orderstatus-p_type-s_nationkey,43432
o_orderdate-ps_availqty-r_name,93158
o_orderdate-ps_availqty-r_regionkey,93291
o_orderdate-ps_supplycost-r_name,299028
o_orderdate-ps_supplycost-r_regionkey,301714
o_orderpriority-ps_availqty-r_name,84066
o_orderpriority-ps_availqty-r_regionkey,85775
o_orderpriority-ps_supplycost-r_name,293937
o_orderpriority-ps_supplycost-r_regionkey,291102
o_orderstatus-ps_availqty-r_name,87510
o_orderstatus-ps_availqty-r_regionkey,85700
o_orderstatus-ps_supplycost-r_name,292878
o_orderstatus-ps_supplycost-r_regionkey,292758
o_orderdate-ps_availqty-s_nationkey,92686
o_orderdate-ps_supplycost-s_nationkey,300933
o_orderpriority-ps_availqty-s_nationkey,86044
o_orderpriority-ps_supplycost-s_nationkey,292528
o_orderstatus-ps_availqty-s_nationkey,88419
o_orderstatus-ps_supplycost-s_nationkey,291714
o_orderdate-r_name-s_nationkey,50185
o_orderdate-r_regionkey-s_nationkey,54016
o_orderpriority-r_name-s_nationkey,41002
o_orderpriority-r_regionkey-s_nationkey,41574
o_orderstatus-r_name-s_nationkey,42543
o_orderstatus-r_regionkey-s_nationkey,43318
p_brand-ps_availqty-r_name,86453
p_brand-ps_availqty-r_regionkey,85186
p_brand-ps_supplycost-r_name,291640
p_brand-ps_supplycost-r_regionkey,295914
p_container-ps_availqty-r_name,86161
p_container-ps_availqty-r_regionkey,87498
p_container-ps_supplycost-r_name,295613
p_container-ps_supplycost-r_regionkey,294088
p_size-ps_availqty-r_name,88412
p_size-ps_availqty-r_regionkey,84611
p_size-ps_supplycost-r_name,297082
p_size-ps_supplycost-r_regionkey,297204
p_type-ps_availqty-r_name,87766
p_type-ps_availqty-r_regionkey,88699
p_type-ps_supplycost-r_name,296290
p_type-ps_supplycost-r_regionkey,298075
p_brand-ps_availqty-s_nationkey,87087
p_brand-ps_supplycost-s_nationkey,297846
p_container-ps_availqty-s_nationkey,87206
p_container-ps_supplycost-s_nationkey,293325
p_size-ps_availqty-s_nationkey,87484
p_size-ps_supplycost-s_nationkey,294751
p_type-ps_availqty-s_nationkey,86678
p_type-ps_supplycost-s_nationkey,295144
p_brand-r_name-s_nationkey,42819
p_brand-r_regionkey-s_nationkey,42179
p_container-r_name-s_nationkey,43864
p_container-r_regionkey-s_nationkey,44256
p_size-r_name-s_nationkey,45821
p_size-r_regionkey-s_nationkey,42229
p_type-r_name-s_nationkey,42437
p_type-r_regionkey-s_nationkey,42658
ps_availqty-r_name-s_nationkey,87425
ps_availqty-r_regionkey-s_nationkey,86419
ps_supplycost-r_name-s_nationkey,297751
ps_supplycost-r_regionkey-s_nationkey,295841
