"partition_description", "runtime (milliseconds)"
c_phone-l_shipmode-o_orderdate,78294
c_phone-l_shipmode-o_orderpriority,73576
c_phone-l_shipmode-o_orderstatus,74962
c_acctbal-l_commitdate-p_brand,94017
c_acctbal-l_commitdate-p_container,95137
c_acctbal-l_commitdate-p_size,96714
c_acctbal-l_commitdate-p_type,95599
c_acctbal-l_discount-p_brand,71185
c_acctbal-l_discount-p_container,73842
c_acctbal-l_discount-p_size,70999
c_acctbal-l_discount-p_type,71348
c_acctbal-l_quantity-p_brand,73590
c_acctbal-l_quantity-p_container,75912
c_acctbal-l_quantity-p_size,75810
c_acctbal-l_quantity-p_type,77084
c_acctbal-l_receiptdate-p_brand,94386
c_acctbal-l_receiptdate-p_container,96575
c_acctbal-l_receiptdate-p_size,91760
c_acctbal-l_receiptdate-p_type,99832
c_acctbal-l_returnflag-p_brand,71319
c_acctbal-l_returnflag-p_container,71574
c_acctbal-l_returnflag-p_size,73147
c_acctbal-l_returnflag-p_type,72654
c_acctbal-l_shipdate-p_brand,88924
c_acctbal-l_shipdate-p_container,93866
c_acctbal-l_shipdate-p_size,91575
c_acctbal-l_shipdate-p_type,93119
c_acctbal-l_shipinstruct-p_brand,74926
c_acctbal-l_shipinstruct-p_container,74087
c_acctbal-l_shipinstruct-p_size,78157
c_acctbal-l_shipinstruct-p_type,70197
c_acctbal-l_shipmode-p_brand,73261
c_acctbal-l_shipmode-p_container,73175
c_acctbal-l_shipmode-p_size,70180
c_acctbal-l_shipmode-p_type,74067
c_mktsegment-l_commitdate-p_brand,44536
c_mktsegment-l_commitdate-p_container,49545
c_mktsegment-l_commitdate-p_size,43644
c_mktsegment-l_commitdate-p_type,49765
c_mktsegment-l_discount-p_brand,25131
c_mktsegment-l_discount-p_container,27012
c_mktsegment-l_discount-p_size,26664
c_mktsegment-l_discount-p_type,26545
c_mktsegment-l_quantity-p_brand,28626
c_mktsegment-l_quantity-p_container,28999
c_mktsegment-l_quantity-p_size,29652
c_mktsegment-l_quantity-p_type,29813
c_mktsegment-l_receiptdate-p_brand,48375
c_mktsegment-l_receiptdate-p_container,50493
c_mktsegment-l_receiptdate-p_size,44533
c_mktsegment-l_receiptdate-p_type,46907
c_mktsegment-l_returnflag-p_brand,23288
c_mktsegment-l_returnflag-p_container,24384
c_mktsegment-l_returnflag-p_size,24645
c_mktsegment-l_returnflag-p_type,24838
c_mktsegment-l_shipdate-p_brand,44910
c_mktsegment-l_shipdate-p_container,40945
c_mktsegment-l_shipdate-p_size,48304
c_mktsegment-l_shipdate-p_type,41968
